"recid","age","hsged","white","children","jtpa","married","male","treatment","delta","days"
300001,46,1,0,0,1,0,0,1,1,151
300002,24,1,1,1,1,0,0,1,1,32
300003,28,0,0,1,1,1,1,1,1,72
300006,34,1,0,1,0,1,0,1,1,188
300008,31,1,1,1,1,0,0,1,1,68
300009,21,1,0,0,1,0,1,1,1,140
300011,20,1,1,0,1,0,1,1,1,44
300014,41,1,1,1,1,1,0,1,1,174
300015,24,0,1,1,1,1,1,1,1,212
300016,26,1,1,0,1,0,1,1,1,66
300018,16,0,0,1,0,0,0,1,0,733
300020,17,0,0,0,1,0,0,1,1,139
300021,20,1,0,1,1,0,0,1,1,261
300022,35,0,0,1,1,1,0,1,1,18
300025,49,0,1,0,0,0,1,0,0,692
300026,40,1,1,1,1,1,0,1,1,177
300029,24,0,1,0,1,0,1,1,0,600
300030,22,0,1,0,0,0,0,0,1,2
300032,31,0,1,0,0,0,1,1,1,16
300033,28,1,1,1,0,1,1,0,1,51
300036,45,1,0,1,0,0,0,1,1,29
300037,26,0,1,1,0,0,0,0,1,1
300038,17,1,1,0,0,0,1,0,1,232
300039,28,1,1,1,1,0,0,0,1,5
300041,43,0,1,1,0,1,0,1,0,1268
300044,27,1,0,1,1,0,1,1,1,94
300045,21,1,1,1,1,1,1,1,1,9
300046,21,1,0,0,1,0,0,1,1,112
300047,31,0,0,0,0,0,1,0,0,647
300048,33,1,1,1,0,1,0,0,1,138
300051,19,1,0,0,0,0,0,1,1,189
300052,29,1,1,1,0,0,0,0,1,2
300053,22,1,1,1,0,0,0,0,0,707
300054,23,0,1,0,0,0,1,0,1,30
300056,48,0,1,0,1,1,1,1,0,582
300059,26,0,1,1,1,0,0,1,1,452
300063,29,0,1,1,1,0,0,0,1,569
300065,25,0,0,0,0,0,0,1,0,387
300067,20,1,0,1,0,0,0,1,1,403
300068,20,1,0,1,0,0,0,1,1,4
300069,19,0,0,0,0,0,0,1,1,1
300070,29,1,0,0,0,0,1,0,1,158
300072,31,1,1,0,0,0,1,0,0,753
300076,22,1,0,0,0,0,1,1,1,10
300077,48,1,1,0,0,0,0,0,1,370
300078,50,0,1,1,0,0,0,0,0,574
300079,54,0,0,1,1,0,0,1,1,490
300081,33,1,0,1,1,1,1,1,1,45
300082,24,0,0,1,0,0,0,0,1,26
300083,24,1,1,1,0,1,0,1,1,493
300084,30,0,0,0,0,0,1,0,0,591
300086,21,1,0,0,0,0,1,0,1,292
300088,63,0,0,0,1,0,1,1,0,626
300089,21,1,0,1,1,0,0,1,1,263
300093,29,1,0,0,1,0,1,1,1,67
300094,17,0,0,0,0,0,1,0,1,64
300095,33,0,1,0,1,0,1,1,1,199
300100,27,0,0,1,0,1,0,0,0,563
300102,22,0,0,1,1,1,0,1,0,441
300103,55,1,1,1,0,0,0,0,1,436
300104,38,1,0,0,0,0,1,0,0,858
300106,21,0,1,0,1,0,1,1,1,15
300108,22,1,0,1,0,0,0,0,0,665
300109,16,0,0,0,1,0,1,1,1,379
300112,52,0,0,0,1,0,0,1,0,634
300114,25,1,1,0,0,0,1,0,1,30
